company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
YAZILIM-BILISIM,levent.hamsioglu@airadio.com,,Ankara,AIR,+90 312 285 82 52,https://airadio.com/; https://www.schema.org
YAZILIM-BILISIM,mail@canandcan.net,,Ankara,CAN&CAN,,https://canandcan.net/; https://www.schema.org
YAZILIM-BILISIM,gungor.derya@gmail.com,,Ankara,BSY YAZILIM,,https://www.schema.org
YAZILIM-BILISIM,info@bilmedbilisim.com.tr,,Ankara,BİLMED BİLİŞİM,+90 312 484 05 40,http://www.bilmedbilisim.com.tr/; https://www.schema.org
YAZILIM-BILISIM,info@bilkentakademi.com.tr,,Ankara,BİLKENT ARGE BİLİŞİM,,https://bilkentakademi.com.tr/; https://www.schema.org
YAZILIM-BILISIM,mbakiaslan@mynet.com,,Ankara,BAKİ ASLAN TEKNOLOJİ,,http://www.bakiaslan.com; https://www.schema.org
YAZILIM-BILISIM,babadogantechandedu@gmail.com,,Ankara,BABADOĞAN TEKNOLOJİ ve EĞİTİM,,https://babadogan.net/; https://www.schema.org
YAZILIM-BILISIM,info@arinlabs.com,,Ankara,ARİNLABS YAPAY ZEKA,+90 312 210 58 80,https://www.arinlabs.com/; https://www.schema.org
YAZILIM-BILISIM,burak.demirsoy@argusteknoloji.com,,Ankara,ARGUS TEKNOLOJİ,+90 312 483 27 47,https://www.argusteknoloji.com/; https://www.schema.org
YAZILIM-BILISIM,burak@areselektronik.com,,Ankara,ARES AR-GE,+90 312 395 29 15,http://www.areselektronik.com; https://www.schema.org
YAZILIM-BILISIM,veli@aky-tech.com,,Ankara,AKY TECH,+90 850 303 55 11,https://www.aky-tech.com/; https://www.schema.org
YAZILIM-BILISIM,info@akdogan.tech,,Ankara,AKDOĞAN TEKNOLOJİ,+90 312 514 16 61,https://akdogan.tech/; https://www.schema.org
YAZILIM-BILISIM,asli.buyukuygur@zestck.com,,Ankara,ZEST GIDA,,https://www.schema.org; https://www.zestck.com/
MUHENDISLIK_BIYOTEKNOLOJI,selimogluozgur@gmail.com,,Ankara,YUBA TEKNOLOJİ,,https://www.schema.org
