company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
TEKNOLOJİ,,,Ankara,3 D TEKNİK METALÜRJİ ARAŞTIRMA GELİŞTİRME SAVUNMA SANAYİ MÜHENDİSLİK VE TİCARET LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,3AGE SAĞLIK ÜRÜNLERİ VE BİLİŞİM TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,A2 TEKNOLOJİ LİMİTED ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,A2S DANIŞMANLIK VE YATIRIM A.Ş.,,
TEKNOLOJİ,,,Ankara,ABDULLAH DEMİR,,
TEKNOLOJİ,,,Ankara,ABDULLAH DURSUN,,
TEKNOLOJİ,,,Ankara,ACCELERATE SİMÜLASYON BİLİŞİM TEKNOLOJİLERİ MÜHENDİSLİK DANIŞMANLIK A.Ş.,,
TEKNOLOJİ,,Dijital Oyunlar ve Oyun Teknolojileri,Ankara,ADELINE GAMES OYUN TEKNOLOJİ VE YAZILIM A.Ş.,,
TEKNOLOJİ,,,Ankara,ADHOC TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,"Yazılım, 3D Simülasyon ve Modelleme",Ankara,ADIM TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,,Ankara,AEROS HAVACILIK MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,,
TEKNOLOJİ,,"Yazılım Geliştirme, Eğitim, Danışmanlık",Ankara,AGEM BİLİŞİM YAZILIM DANIŞMANLIK EĞİTİM HİZMETLERİ LTD.ŞTİ.,,
TEKNOLOJİ,,Yazılım Geliştirme,Ankara,AGMLAB ARAŞTIRMA GELİŞTİRME MERKEZ LABORATUVARI BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,AI GENERATOR YAPAY ZEKA BİLİŞİM ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,ALAVAN YAZILIM MÜHENDİSLİK MİMARLIK SANAYİ VE TİCARET LTD. ŞTİ,,
TEKNOLOJİ,,"Ofis, Pazaryeri, Alan, Verimlilik, Hibrit Model, Dönüşüm, CRM",Ankara,ALEFLET ZAMAN VE MEKAN PLANLAMA YAZILIM A.Ş.,,
TEKNOLOJİ,,WAF DDOS Cloud Security,Ankara,ALTOSEC BİLİŞİM ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,ALVİS PROFESYONEL ÇÖZÜMLER VE DANIŞMANLIK LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,ANET TEKNOLOJİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,ANSER BİLİŞİM TEKNOLOJİLERİ LTD. ŞTİ.,,
TEKNOLOJİ,,"Anten Tasarımı, RF Sistemler ve Mikrodalga",Ankara,ANTENOM ANTEN TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,APPLY CODER BİLİŞİM A.Ş.,,
TEKNOLOJİ,,"Mobil uygulama geliştiricilerin yaygınlaşma faaliyetlerini kurgulayabilecekleri, yönetebil...",Ankara,APPS MEDYA TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,Mobil Teknolojiler,Ankara,APPS TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,ARDİN MÜZE VE SERGİ TEKNOLOJİLERİ TİCARET LTD. ŞTİ.,Ankara,ARDİN MÜZE VE SERGİ TEKNOLOJİLERİ TİCARET LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,AREKA YAZILIM VE ENERJİ TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,Havacılık İşletmeleri El Kitabı Takip Sistemi,Ankara,ARGEM YAZILIM VE DANIŞMANLIK TİC. LTD. ŞTİ.,,
TEKNOLOJİ,,"Sistem, Veri Tabanı, E-imza,KEP",Ankara,ARKSIGNER YAZILIM VE DONANIM SAN. TİC. A.Ş,,
TEKNOLOJİ,,"NVG Panel, Helicopter Night Vision Imaging Systems (NVIS), Night Vision Cockpit LED Lighti...",Ankara,ARMS ELEKTRONİK SAVUNMA SANAYİ A.Ş.,,
TEKNOLOJİ,,,Ankara,ASE CQRS YAZILIM VE TEKNOLOJİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,"Step, Sızma Testi Platformu ACELAB, Siber Güvenlik Eğitim Platformu SOCBOT, Siber Güvenlik...",Ankara,ATARLABS BİLİŞİM A.Ş.,,
TEKNOLOJİ,,Yazılım,Ankara,ATEK MİKRODALGA A.Ş.,,
TEKNOLOJİ,,,Ankara,ATEŞ LABS SAVUNMA BİLİŞİM VE DANIŞMANLIK ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,AVERD TEKNOLOJİ LİMİTED ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,BAARNE TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,,Ankara,BACKPACK GAMES YAZILIM ANONİM ŞİRKETİ,,
TEKNOLOJİ,,"Mobil Uygulamalar, Yazilim, Fintech, Blockchain",Ankara,BARAKATECH YAZILIM SANAYİ VE TİCARET A.Ş.,,
TEKNOLOJİ,,,Ankara,BARYONİC SPACE ELEKTRONİK TASARIM ÜRETİM TİCARET A.Ş.,,
TEKNOLOJİ,,"Mobil telefon yazılımları, SMS Tabanlı uygulamalar, Mobil eğlence araçları",Ankara,BAŞARI MOBILE BİLİŞİM ÜRÜNLERİ VE HİZMETLERİ A.Ş.,,
TEKNOLOJİ,,YAZILIM,Ankara,BAŞARI TEKNOLOJİK SİSTEMLER SAN. VE TİC. A.Ş.,,
TEKNOLOJİ,,,Ankara,BEE BATTERY HAVACILIK VE YAZILIM TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,BEFARME TARIM TEKNOLOJİLERİ TİCARET LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,BERAT TAN AKAN,,
TEKNOLOJİ,,,Ankara,BERK SAVİ,,
TEKNOLOJİ,,Yazılım geliştirme,Ankara,BEYAZ 1 BİLİŞİM TEKNOLOJİLERİ TİC. LTD. ŞTİ.,,
TEKNOLOJİ,,"Yazılım , LMS, CRM, Akıllı Şehirler, CMS, E-Ticaret , HRM",Ankara,BİLGE ADAM YAZILIM VE TEKNOLOJİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,Bilgi Teknolojileri Yönetim Bilişim Sistemi Projeleri Yazılım Üretimi,Ankara,BİLİŞİM BİLİŞİM VE YAZILIM SİSTEMLERİ SAN. VE TİC. A.Ş.,,
TEKNOLOJİ,,,Ankara,BİLKENT NANOTAM A.Ş.,,
TEKNOLOJİ,,Nanoteknoloji,Ankara,BİLKENT ÜNİVERSİTESİ (NANOTAM),,
TEKNOLOJİ,,Biyomedikal,Ankara,BİLKENT ÜNİVERSİTESİ (UMRAM),,
TEKNOLOJİ,,"Enerji, nanotriboloji, nanoyapıların tasarımı, kızılötesi lazer fiberlerinin geliştirilmes...",Ankara,BİLKENT ÜNİVERSİTESİ (UNAM),,
TEKNOLOJİ,,"Eğitim Teknolojileri, Göz İzleme Teknolojileri",Ankara,BİLTEN BİLİŞİM TEKNOLOJİLERİ EĞİTİM HİZMETLERİ YAYINCILIK LTD. ŞTİ.,,
TEKNOLOJİ,,YAZILIM,Ankara,BİMETRİ BİLGİ VE İLETİŞİM TEKNOLOJİLERİ YAZILIM ELEKTRONİK İMALAT İTHALAT İHRACAT SANAYİ V...,,
TEKNOLOJİ,,Eticaret firmaları için online ve entegre fatura yazılımı geliştirme,Ankara,BİRFATURA YAZILIM TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,BİRİKİM SAVUNMA MÜHENDİSLİK TEKNOLOJİ VE TASARIM SANAYİ TİCARET A.Ş.,,
TEKNOLOJİ,,"Eğitim teknolojileri, Eğitim ve makine öğrenme teknikleri, Video altlıkları, Katma değerli...",Ankara,BK MOBİL İLETİŞİM HİZMETLERİ VE BİLİŞİM A.Ş.,,
TEKNOLOJİ,,"Elektronik kart/modül/cihaz soğutma yapıları, faz değişimi (iki faz) soğutma sistemleri, ı...",Ankara,BNCOOL MÜHENDİSLİK LTD. ŞTİ.,,
TEKNOLOJİ,,YAZILIM,Ankara,BORDO YAZILIM TİCARET LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,BOSPHORUS AI YAPAY ZEKÂ VE BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,BOZBURUN DANIŞMANLIK VE MÜHENDİSLİK HİZMETLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,BRAIN SERVICE YAZILIM TEKNOLOJİLERİ LTD. ŞTİ.,,
TEKNOLOJİ,,,Ankara,BRANDEFENSE BİLİŞİM DANIŞMANLIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,BRONİX YAZILIM A.Ş.,,
TEKNOLOJİ,,,Ankara,BULBİ TEKNOLOJİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,BYTESHİFT TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,YAZILIM,Ankara,C TECH BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,,
TEKNOLOJİ,,"Doküman Yönetim Sistemleri, İş akışı motorları, ERP, Finans Uygulamaları, Lojistik Uygulam...",Ankara,C.B.K. SOFT YAZILIM DONANIM ELEKTRONİK VE BİLGİSAYAR SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRK...,,
TEKNOLOJİ,,YAZILIM,Ankara,C/S ENFORMASYON TEKNOLOJİLERİ LTD. ŞTİ.,,
TEKNOLOJİ,,Mobil Uygulama Yazılımı,Ankara,C2M BİLİŞİM TEKNOLOJİLERİ REKLAM HİZMETLERİ TİCARET VE ORGANİZASYON A.Ş.,,
TEKNOLOJİ,,,Ankara,CAREMYLIFE SAĞLIK TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,"Yazılım Geliştirme, Multimedya Teknolojileri",Ankara,CE TASARIM YAZILIM TANITIM REKLAM BİLİŞİM HİZ.SAN.VE TİC.LTD.ŞTİ.,,
TEKNOLOJİ,,"Veri Analizi, Blok Zinciri, Yapay Zeka, AR-VR, Siber Güvenlik, Uygulama, Robotik, Metavers...",Ankara,CEREBRUM TEKNOLOJİ YAZILIM SANAYİ VE TİCARET A.Ş.,,
TEKNOLOJİ,,,Ankara,CFL MALZEME TEKNOLOJİLERİ ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,CFN TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,,Ankara,CLONIFY LABS MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,,
TEKNOLOJİ,,Yazılım Geliştirme,Ankara,CODEBASE AR-GE YAZILIM BİLİŞİM TİCARET LTD.ŞTİ.,,
TEKNOLOJİ,,,Ankara,COGNİCİSE TEKNOLOJİ A.Ş.,,
TEKNOLOJİ,,,Ankara,COGNİTO YAZILIM TEKNOLOJİLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,COGNİZEN ARGE MÜHENDİSLİK VE YAZILIM A.Ş.,,
TEKNOLOJİ,,"Oyun Tasarım ve Yazılımı, Yazılım Geliştirme, Tasarım, Prodüksiyon, Animasyon, Dijital Vid...",Ankara,CREASAUR TEKNOLOJİ TİCARET A.Ş.,,
TEKNOLOJİ,,,Ankara,CRINUM GÜÇ SİSTEMLERİ VE DANIŞMANLIK SANAYİ TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,CROWİA BİLİŞİM HİZMETLERİ A.Ş.,,
TEKNOLOJİ,,,Ankara,CURVE ANİMASYON PRODÜKSİYON VE YAZILIM ANONİM ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,CYBERSOUND TEKNOLOJİ LİMİTED ŞİRKETİ,,
TEKNOLOJİ,,,Ankara,CYRECORD BİLİŞİM TEKNOLOJİLERİ TİCARET LİMİTED ŞİRKETİ,,
TEKNOLOJİ,,YAZILIM,Ankara,ÇAĞATAY ÇİVİCİ – PRIMETEK BİLİŞİM YAZILIM EĞİTİM DAN. TEK. HİZ.,,
TEKNOLOJİ,,,Ankara,D2G TEKNOLOJİ A.Ş.,,
