company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
,,,Ankara,7Z SAĞLIK TEKNOLOJİLERİ VE DANIŞMANLIK ANONİM ŞİRKETİ,,
,,,Ankara,BLUEİT YAZILIM VE DANIŞMANLIK LİMİTED ŞİRKETİ,,
,,,Ankara,CİEL TIBBİ ÜRÜNLER KOZMETİK DANIŞMANLIK LABORATUVAR HİZMETLERİ ANONİM ŞİRKETİ,,
,,,Ankara,CORE CODE YAZILIM LİMİTED ŞİRKETİ,,
,,,Ankara,CREATIVE BİYOTEKNOLOJİ HİZMETLERİ LTD.ŞTİ.,,
,,,Ankara,DEFY DİJİTAL YAZILIM HİZMETLERİ ANONİM ŞİRKETİ,,
,,,Ankara,DIKROIKTECH SAĞLIK ELEKTRONİK VE BİLİŞİM TEKNOLOJİLERİ SANAYİLERİ TİCARET ANONİM ŞİRKETİ,,
,,,Ankara,EAE AKILLI TARIM TEKNOLOJİLERİ BİLİŞİM YAZILIM ARGE DANIŞMANLIK SAN. TİC. LTD. ŞTİ.,,
,,,Ankara,ECO DITTA MULTIDISCIPLINARY TECHNOLOGIES ENERJİ TARIM SAĞLIK ARAŞTIRMA GELİŞTİRME SANAYİ TİCARET LİMİTED ŞİRKETİ,,
,,,Ankara,ELEKTRAİN MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,,
,,,Ankara,ENTODOR TARIMSAL ARAŞTIRMALAR LTD. ŞTİ.,,
,,,Ankara,ETNASİS ENDÜSTRİYEL BİLİŞİM EĞİTİM VE DANIŞMANLIK ANONİM ŞİRKETİ,,
,,,Ankara,EUMICROPOWER BİYOTEKNOLOJİ İLAÇ KİMYA SANAYİ TİCARET ANONİM ŞİRKETİ,,
,,,Ankara,GENPOL SAĞLIK HİZMETLERİ VE LABORATUVAR SANAYİ VE TİCARET ANONİM ŞİRKETİ,,
