company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
768,,"1IF Software, danışmanlık, tasarım, uygulama geliştirme ve entegrasyondan desteğe kadar tüm proje yaşam döngüsünü kapsayan yenilikçi yazılım çözümleri ve hizmetleri sunan Türkiye'nin lider yazılım geliştiricisi ve entegratörüdür.",Ankara,1İf Bilişim Danışmanlık Arge ve Yazılım A.Ş.,,http://www.1if.com.tr/
767,,"2C olarak müşterilerimize ihtiyacı doğrultusunda değer oluşturmayı ve entegre çözümler sunarak platform bağımsız bir şekilde çalışmalarına devam etmekteyiz. Firmamız, verimliliğin artırılması, rekabet üstünlüğünün sağlanmasını ve ölçülebilir maliyet kazancının oluşması için müşteri odaklı bir firma olmayı ön planda tutmaktadır. Yenilikçi fikirlerimiz ve pazar-odaklı hizmetlerimiz aracılığıyla daha güvenli ve sağlıklı yaşam için karşılaşılan sorunları çözerek sürdürülebilir bir başarı amaçlıyoruz.",Ankara,2C Bilgi Teknolojileri Ltd. Şti.,,http://www.2cteknoloji.com
769,,"Cumhuriyetimizin temel ilkelerinden ilham alarak, teknoloji ve yeniliği ülkemizin kalkınması için bir araç olarak benimseyen bir şirketiz. ""Hayatta en hakiki mürşit ilimdir"" sözünden güç alarak, bilim ve teknolojiye verdiğimiz önemi her geçen gün arttırıyoruz. Teknolojiyi, ülkemizin ekonomik ve sosyal kalkınmasına katkı sağlamak, gençlerimizi geleceğe hazırlamak ve halkımıza daha kaliteli hizmet sunmak için kullanıyoruz. Bu değerlerle, ülkemizi daha güçlü bir dijital geleceğe taşımak için çalışıyoruz. Teknolojiye verdiğimiz önemi özellikle savunma sanayi ve sağlık alanlarında yoğunlaştırıyoruz. Savunma sanayisinde yerli ve milli üretimi destekleyerek, ülkemizin güvenliğini güçlendirmeyi ve bağımsızlığını pekiştirmeyi amaçlıyoruz. Savunma ve sağlık alanlarındaki teknolojik kalkınma, ülkemizin geleceği için kritik öneme sahiptir. Bu hedeflere ulaşmada hem eğitim ve danışmanlık faaliyetleri hem de üretim süreçlerine birebir katılarak ülke değerlerine katkıda bulunmak temel hedefimizdir.",Ankara,3BE INDUSTRY Medikal Savunma Yazılım Eğitim Ve Danışmanlık Ltd. Sti.,,http://www.3be.com.tr
773,,"AEMA Mühendislik Danışmanlık San. Ve Tic. Ltd. Şti. Savunma Sanayii’ne ve e-mobilite sektöründe yerli çözümler geliştirmek amacıyla 2022 yılında TÜBİTAK BİGG desteği ile kurulmuştur. 
Firmamızın kuruluş amacı, endüstriyel hafif elektrikli araçlarda kullanılan tahrik motorlarının ve savunma sanayinde kullanılan elektrik motorlarının yerli ve milli imkânlar ile geliştirilerek bu projelerin “elektrik motoru” noktasındaki çözüm ortağı olmaktır.
Firma kurucularının geçmişte yer aldıkları projelerden edindikleri bilgiler doğrultusunda AEMA Mühendislik, MIL-STD-810G askeri standartlarında, IEC 60034 serisi endüstriyel standartlarında ve IEC 60349 raylı sistemlere uygun ürün tasarımı ve üretimi kabiliyetlerine sahiptir.",Ankara,AEMA Mühendislik Müşavirlik San ve Ticaret Limited şirketi,,www.aema.com.tr
767,,,Ankara,AISTUDIO Yazılım Danışmanlık Ticaret Limited Şirketi Teknokent Şubesi,,https://aistudio.com.tr/
767,,"Alpacom, eğitim ve finans teknolojilerinde yenilikçi çözümler sunarak mobil uygulamalar geliştiren, kullanıcı odaklı bir yazılım firmasıdır.",Ankara,ALPACOM TEKNOLOJİ YAZILIM SANAYİ TİCARET LİMİTED ŞİRKETİ,,"Alpacom, eğitim ve finans teknolojilerinde yenilikçi çözümler sunarak mobil uygulamalar geliştiren, kullanıcı odaklı bir yazılım firmasıdır."
767,,"Alp Otonom, araçtan araca komünikasyon odakli otonom sürüş ve uçuş yazılımı ile yüksek manevra kabiliyetli çözümler üretir.",Ankara,ALP OTONOM TEKNOLOJİ VE DANIŞMANLIK A.Ş.,,www.alpautonomy.com
767,,"Ancorax Technologies, Ankara, Türkiye merkezli bir yazılım ve dental ekipman girişimidir. Endodonti ve Diş Hekimliği alanındaki 25 yıllık teknik ve pratik bilgiye dayalı olarak diş ekipmanları ve yazılımları geliştiriyoruz.",Ankara,Ancorax Yazılım ve Tıbbi Cihazlar İmalat Ticaret Limited Şirketi,,https://www.ancorax.com/
769,,"Ar&Ge faaliyetleri kapsamında ELISA (Enzyme Linked ImmunoSorbent Assay) tabanlı kitlerin geliştirilmesi ve üretilmesi yer almaktadır. Bu bağlamda başta İnsan sağlığı için rutin ve araştırmaya dönük diyagnostik kitler olmasına rağmen, süreç içerisinde veterinerlik, tarım, gıda, çevre gibi alanlarda da portföyünü geliştirmek için çalışmalar yapacaktır. Süreç içerisinde ayrıca bu kitlerde kullanılan bazı ana ham maddelerin de geliştirilmesi ve üretilmesi hedeflenmektedir.Şirketimiz 5 yıldan fazla bir süredir Mikrobiyota konusunda da çalışmalarını ve bilimsel ile endüstriyel aktivitelerini sürdürmektedir. Şirketimiz Mikrobiyota/Mikrobiyom konusunu; Mikrobiyoloji'nin veya daha genel bir kavram olarak Biyoloji Biliminin yeniden keşfi olarak görmekte ve yaşadığımız bu yüzyıla çok önemli etkisinin olacağı bilinciyle hareket etmektedir. Mikrobiyota/Mikrobiyom konusunda şirketimiz; hem teşhis, hem de tedavi için kullanılacak araştırmalar ile teknolojiler konusunda çalışmalarına devam etmektedir.",Ankara,Anka Biyoteknoloji San. ve Tic. Ltd. Şti.,,http://www.ankabiyotek.com/tr/ana-sayfa/
773,,"Ape Drone Teknolojileri, 2017 yılında Ankara’da, çocukluk arkadaşları olan dört girişimci tarafından kuruldu. Drone yazılım ve donanımları geliştiren firmamız, 2019 itibarıyla 20 kişilik multidisipliner ekibiyle hem yurtiçinde hem de yurtdışında müşterilerine hizmet sunmaktadır.

AR-GE odaklı yaklaşımımızla, kullanıcı deneyimini önceliklendiren donanım ve yazılımlar üretmeye odaklanıyoruz. Türkiye’nin öncü firmalarıyla gerçekleştirdiğimiz kurumsal projelerin yanı sıra son kullanıcılar için geliştirdiğimiz yenilikçi ürünlerle birçok ödül ve başarıya imza attık.

Butik bir girişim olarak, inovatif ve kolay kullanım sağlayan drone yazılım ve donanımlarını müşterilerimizle buluşturuyoruz. Ürünlerimizin tamamı kendi tasarım ve üretimimiz olup, Ape Elektronik Kartı ile güvenilir ve başarılı uçuşlar gerçekleştirilmektedir.

Kurumsal firmaların ihtiyaçlarına özel projeler geliştirirken, son kullanıcılar için ürettiğimiz çözümlerle de sektörde fark yaratmaya devam ediyoruz.",Ankara,APE HAVACILIK ARGE MÜHENDİSLİK YAZILIM DANIŞMANLIK VE İMALAT İTHALAT İHRACAT LTD. ŞTİ.,,www.apedrone.tech
