company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
YAZILIM-BILISIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Ard Grup Bilişim Teknolojileri A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardgrup.com.tr; https://hacettepe.edu.tr; https://www.ardgrup.com.tr; https://www.hacettepettm.com/
YAZILIM-BILISIM,info@ankarabt.com; info@hacettepeteknokent.com.tr,,Ankara,Ankara Bilgi Teknolojileri Reklamcılık Turizm Sanayi Ve Tic. Ltd. Şti.,(312) 299-23-50; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM-BILISIM,bilgi@algan.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Algan Yazılım Ve Bilişim Makine Elektronik Hayvancılık Tic. Ltd. Şti.,(312) 299-22-96; (312) 297 71 62; (312) 297 60 93,http://www.algangroup.com.tr; https://hacettepe.edu.tr; https://www.algangroup.com.tr; https://www.hacettepettm.com/
YAZILIM-BILISIM,info@hacettepeteknokent.com.tr; info@s4e.io,,Ankara,ANCHOR SECURITY YAZILIM DANISMANLIK ANONIM SIRKETI,(312) 429-08-76; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://s4e.io; https://www.hacettepettm.com/
YAZILIM-BILISIM,aysekuyrukcu@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,İNOVEST GIRISIM VE DANISMANLIK LIMITED SIRKETI,(532) 602-58-08; (312) 297 71 62; (312) 297 60 93,http://www.inovestgd.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.inovestgd.com
ELEKTRONIK,erhan@ulsis.com; info@hacettepeteknokent.com.tr,,Ankara,Ulsis Bilişim Teknolojileri Sanayi Ve Ticaret Limited Şirketi,(505) 596-77-23; (312) 297 71 62; (312) 297 60 93,http://www.ulsis.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.ulsis.com
ENERJI,info@hacettepeteknokent.com.tr; iog@iog.com.tr,,Ankara,İog Enerji Proje Dan. Ve Müh. Tic. Ltd. Şti.,(312) 227-06-04; (312) 297 71 62; (312) 297 60 93,http://www.iog.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.iog.com.tr
GIDA-HAYVANCILIK,hakaneser@hotmail.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Şok Marketler Ticaret A.Ş.,(532) 412-13-19; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
INSAAT-MUHENDISLIK,info@hacettepeteknokent.com.tr; info@sntgenergy.com,,Ankara,Sntg Enerji Sistemleri Ltd. Şti,(312) 911-39-30; (312) 297 71 62; (312) 297 60 93,http://www.sntgenergy.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.sntgenergy.com
KIMYA-KOZMETIK-TEMIZLIK,info@hacettepeteknokent.com.tr; pinartox@gmail.com,,Ankara,İTK İLAÇ TIBBI CİHAZ KOZMETİK ARGE DANIŞMANLIK İTHALAT VE İHRACAT LTD. ŞTİ.,(532) 515-14-00; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
