company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
Mühendislik Uygulamaları,ariteknokent@ariteknokent.com.tr,"Osteoid Sağlık Teknolojileri,&nbsp;kişiye &ouml;zg&uuml; 3D ortez ve protez &ccedil;&ouml;z&uuml;mleri sunan alanında D&uuml;nya&rsquo;da&nbsp;&ouml;nc&uuml; bir firmadır.&nbsp;Y&uuml;zlerce hastaya 3D tarama ve 3D baskı &uuml;retim y&ouml;ntemleriyle &ouml;zel olarak skolyoz ve kifoz korselerinin&nbsp;imalatını T&uuml;rkiye&rsquo;de ilk defa Osteoid tarafından yapıldı.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",OSTEOID,+90 (212) 285 71 92,http://www.osteoid.com/
BİYOTEKNOLOJİ,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",OCTO BİYOTEKNOLOJİ ARGE SANAYİ VE TİCARET ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"1 Şubat 2006 tarihinde TAGSOFT A.Ş. (Tagsoft Teknoloji Araştırma Geliştirme ve Yazılım Pazarlama Ticaret Anonim Şirketi) ticari unvanı ile kurulmuştur. Faaliyetlerine, 28 Şubat 2008 tarihli Ticaret Sicil gazetesinde yayınlanarak y&uuml;r&uuml;rl&uuml;ğe giren ticari unvan değişikliği ile SoftTech A.Ş. (SoftTech Yazılım Teknolojileri Araştırma Geliştirme ve Pazarlama Ticaret A.Ş.) olarak devam etmektedir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",SOFTTECH,+90 (212) 285 45 79-80 (4 Hat),http://www.softtech.com.tr/
Havacılık,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ARC HAVACILIK UZAY SANAYİ VE TİCARET LTD. ŞTİ.,+90 (212) 285 71 92,
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Algometa, kişiselleştirme ve iş zekası uygulamaları aracılığıyla dinamik karar desteği sunar.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",ALGOMETA YAZILIM VE DANIŞMANLIK LTD. ŞTİ.,+90 (212) 285 45 79-80 (4 Hat),https://www.algometatech.com/
Kripto Para,,"Bitcoin başta olmak &uuml;zere bir&ccedil;ok kripto paranın alım/satımının yapıldığı platform; kullanıcı dostu aray&uuml;z&uuml;, g&uuml;venli altyapısı ve kaliteli hizmeti&nbsp;ile &ouml;ne &ccedil;ıkmaktadır. Web ve mobil kanalların yanı sıra kullanıcılara API erişimi de sunan Bitexen&rsquo;de 7/24 alım satım işlemi yapabilir, kripto para yatırımlarınızı her an her yerden takip edebilirsiniz.",Ankara,BİTEXEN,,https://www.bitexen.com/
Yazılım,,Bunsar geliştirdiği yapay zek&acirc; temelli kişiselleşmiş &uuml;r&uuml;n &ouml;neri motoru ile perakende şirketlerinin satış ve m&uuml;şteri memnuniyeti performanslarını artırmaktadır.k firma olmuş; Microsoft tarafından T&uuml;rkiye&#39;nin en iyi bulut tabanlı yazılım şirketi se&ccedil;ilmiştir.,Ankara,BUNSAR BİLİŞİM,,http://bunsar.com/
Genetik - Bioteknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",BB GENETİK TANI TEDAVİ VE DANIŞMANLIK SAN. TİC.LTD.ŞTİ.,+90 (212) 285 45 79-80 (4 Hat),https://bb-clinic.com/
Tasarım & Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Wunder Innovation Studio Tasarım ve Strateji Danışmanlığı A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.wunder.is/
Enerji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",APOLLO IOT YAZILIM VE ENERJİ TEKNOLOJİLERİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.apolloiot.com/
Sağlık Hizmetleri,ariteknokent@ariteknokent.com.tr,"Vagustim,&nbsp;giyilebilir n&ouml;romod&uuml;lasyon cihazlarının araştırma ve geliştirmesine odaklanan dijital bir Biyoelektronik Tıp sağlık teknolojisi şirketidir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",VAGUSTİM SAĞLIK TEKNOLOJİLERİ A.Ş.,+90 (212) 285 71 92,https://vagustim.io/
Bilişim Teknolojiler,ariteknokent@ariteknokent.com.tr,"Cloudone, kendi veri merkezlerini y&ouml;neten firmalar i&ccedil;in; bulut bilişim ve 5G altyapısı ile farklı lokasyonlarda, afet anlarında devreye girebilecek, bir felaket kurtarma yazılımı sağlamaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",CLOUDONE,+90 (212) 285 45 79-80 (4 Hat),https://www.cloudone.com/
Fintech,ariteknokent@ariteknokent.com.tr,"Payguru&nbsp;yasal ve kurumsal y&uuml;k&uuml;ml&uuml;klerini tamamlayarak, 27 Nisan 2016 tarihinde BDDK tarafından 6493 sayılı yasa uyarınca faaliyet izni verilen ilk mobil &ouml;deme firmasıdır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TREND ÖDEME KURULUŞU A.Ş.,+90 (212) 285 71 92,https://payguru.com/
Elektronik,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",EVİNNO ELEKTRİK ELEKTRONİK TASARIM ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),
Bilişim,ariteknokent@ariteknokent.com.tr,"SORU, hizmet olarak veri analitiği sunmaktadır. Misyonu, m&uuml;şterilerimizin ihtiya&ccedil; duydukları cevapları ve raporları m&uuml;mk&uuml;n olan en kısa s&uuml;rede almalarına yardımcı olmaktır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",SORU AI YAZILIM ANONİM ŞİRKETİ,+90 (212) 285 71 92,https://soru.ai/
İnşaat ve Yapı Tekno,ariteknokent@ariteknokent.com.tr,"Portneo Bilim ve Yapı Teknolojileri A.Ş., İstanbul Teknik &Uuml;niversitesi&#39;nin teknoloji geliştirme b&ouml;lgesinde bir grup m&uuml;hendis ve akademisyen tarafından kurulmuş olup, inşaat sekt&ouml;r&uuml; i&ccedil;in yenilik&ccedil;i ve teknolojik &ccedil;&ouml;z&uuml;mler sunmaktadır. Ana hizmet alanlarımız M&uuml;hendislik Danışmanlığı, Tarihi Yapıların Restorasyonu, Yenilik&ccedil;i Yapı Malzemeleri Geliştirme ve Sismik Değerlendirme ve Yapıların G&uuml;&ccedil;lendirilmesidir.",Ankara,Portneo Bilim ve Yapı Teknolojileri A.Ş.,,http://portneo.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Etaşın Teknoloji Anonim Şirketi,+90 (212) 285 45 79-80 (4 Hat),https://etasin.com/
Enerji,ariteknokent@ariteknokent.com.tr,"Enerji verimliliği alanında &ccedil;alışmalar yapma, Akıllı sens&ouml;rler ve akıllı binalarda enerji verimliliği alanında &ccedil;alışmalar yapma, Yenilenebilir enerji alanında &ccedil;&ouml;z&uuml;mler geliştirilmesi alanlarında hizmet vermektedir.&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",EOS,+90 (212) 285 71 92,http://www.eos-energy-solutions.de/
