company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
"Dijital Dönüşüm, Uç Bilgi İşlem, Makine Öğrenmesi, Yapay Zeka, Mobil Uygulamalar",info@adesso.com.tr,,Ankara,Adesso Turkey Bilgi Teknolojileri Ltd. Şti.,0212 346 20 02,www.adesso.com.tr
"Yazılım, Yapay Zeka, Havacılık, Savunma Sanayi, Savunma Sanayi",kariyer@asparel.com.tr,,Ankara,Asparel Tasarım Yazılım İç ve Dış Ticaret Anonim Şirketi,(0232) 6832121,www.asparel.com.tr
"Yazarkasa ve Pos Sistemleri, E-Dönüşüm, ERP",info@analizarge.com,,Ankara,Analiz Ar-Ge San Tic Ltd Şti,532 554 41 03,www.ecoconnect.com.tr
"Yazılım, E-Ticaret, Entegrasyon, Destek, Tasarım.",finans@armain.com.tr,,Ankara,Armain Teknoloji İletişim İnternet ve Bilgi Teknolojileri Tic.Ltd.Şti.,(850) 304 35 25,www.kobimaster.com.tr
"Yazılım Geliştirme, Iot, Yapay Zeka, Bulut Bilişim",info@algebra.global,,Ankara,Algebra Global Teknolojiler A.Ş.,,algebra.global
"Telecommunications, Public Safety and Defense, Research and Development",erdogan.camcioglu@argela.com.tr,,Ankara,Argela Technologies,(533) 747 37 02,www.argela.com.tr/
"Bilgisayar Destekli Mühendislik, Biyomekanik, Sonlu Elemanlar Analizi,Mühendislik Yazılımı Geliştirilmesi,Kas İskelet Sistemi Analizleri",bilgi@akromuhendislik.com,,Ankara,Akro Mühendislik Hizmetleri Araştırma ve Geliştirme Ticaret Ltd.,232 503 05 18,www.akromuhendislik.com
"Döküman Yönetim Sistemleri, Süreç Otomasyon, Yazılım (NoCode, SaaS Uygulama / Geliştirme), Dijital Dönüşüm",hello@avantgarde.software.com,,Ankara,Avantgarde Software,,https://avantgarde-software.com
"Coğrafi Bilgi Sistemleri, Akıllı Haritalar, Kamulaştırma ve Arazi Değerleme Sistemleri, Dijital Arşiv Sistemleri, E-Devlet Entegrasyonları",cuneyt@avatek.com.tr,,Ankara,Avatek Yazılım ve Bilgi İşlem Teknolojileri Danışmanlık San. Tic. Ltd. Şti,(0232) 765 91 37,www.avatek.com.tr
"Tüketici Elektroniği, Ar-Ge, Gömülü Yazılım",airtieshr@airties.com,,Ankara,AirTies Kablosuz İletişim San. ve Dış Tic. A.Ş.,,www.airties.com
