company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
ODTU TEKNOKENT,,,Ankara,3DTİM ELEKTRONİK ANONİM ŞİRKETİ,,http://www.3dtim.com
ODTU TEKNOKENT,,,Ankara,3Y TEKNOLOJİ YAZILIM DONANIM BİLİŞİM ELEKTRONİK DANIŞMANLIK EĞİTİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,http://www.3yteknoloji.com.tr
ODTU TEKNOKENT,,,Ankara,Abis Teknoloji Ltd. Şti.,,http://www.abisteknoloji.com.tr
ODTU TEKNOKENT,,,Ankara,ACCELERATE Simülasyon Bilişim Teknolojileri Mühendislik Danışmanlık A.Ş.,,http://uoguztr.wixsite.com/accelerate
ODTU TEKNOKENT,,,Ankara,Acıbadem Teknoloji A.Ş.,,http://www.acibademtechnology.com/
ODTU TEKNOKENT,,,Ankara,ACRUX DİJİTAL TEKNOLOJİ A.Ş,,http://acruxco.com/
ODTU TEKNOKENT,,,Ankara,ADASOFT DANIŞMANLIK VE YAZILIM HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,,http://www.adasoft.com.tr
ODTU TEKNOKENT,,,Ankara,ADDPARK İleri Mühendislik Teknolojileri A.Ş.,,http://www.btech.com.tr
ODTU TEKNOKENT,,,Ankara,ADESSO TURKEY BİLGİ TEKNOLOJİLERİ LİMİTED ŞİRKETİ,,http://www.adesso.com.tr
ODTU TEKNOKENT,,,Ankara,ADVANCER YAZILIM BİLGİSAYAR DANIŞMANLIK LİMİTED ŞİRKETİ,,http://advancerenglish.com
ODTU TEKNOKENT,,,Ankara,AEON GAME OYUN STÜDYO YAZILIM VE ANİMASYON ANONİM ŞİRKETİ,,http://www.aeon.gs
ODTU TEKNOKENT,,,Ankara,AEROMS MÜHENDİSLİK DANIŞMANLIK YAZILIM HİZMETLERİ SAN. VE TİC. A.Ş.,,http://www.aeroms.net
ODTU TEKNOKENT,,,Ankara,AEROTİM MÜHENDİSLİK YAZILIM VE DANIŞMANLIK SANAYİ TİCARET LİMİTED ŞİRKETİ,,http://www.aerotim.com.tr
ODTU TEKNOKENT,,,Ankara,Agcurate Bilgi Teknolojileri Anonim Şirketi,,http://www.agcurate.com
ODTU TEKNOKENT,,,Ankara,AGE BİLGİSAYAR SİSTEM OTOMASYON FAALİYETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,http://www.agebilisim.com
ODTU TEKNOKENT,,,Ankara,Agrimetre Yazılım ve Danışmanlık Ltd. Şti,,http://agrimetre.com/
ODTU TEKNOKENT,,,Ankara,AGROVİSİO TARIM BİLİŞİM LİMİTED ŞİRKETİ,,http://www.agrovisio.com.tr
ODTU TEKNOKENT,,,Ankara,AIMTECH ELEKTRONİK TASARIM ÜRETİM SAVUNMA BİLİŞİM İNŞAAT ARAŞTIRMA GELİŞTİRME HİZMETLERİ İTHALAT İHRACAT SANAYİ TİCARET LİMİTED ŞİRKETİ,,http://www.aimtech.com.tr
ODTU TEKNOKENT,,,Ankara,AINTSOFT BİLİŞİM TEKNOLOJİLERİ DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,,http://aintsoft.com
ODTU TEKNOKENT,,,Ankara,AIX TEKNOLOJİ VE YAZILIM LİMİTED ŞİRKETİ,,
ODTU TEKNOKENT,,,Ankara,AKAKÇE BİLGİ TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,,http://akakce.com
ODTU TEKNOKENT,,,Ankara,ALCHEMY SMART BİLGİ TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.,,http://www.alchemy.com.tr
ODTU TEKNOKENT,,,Ankara,ALİCTUS YAZILIM ANONİM ŞİRKETİ,,http://www.alictus.com
ODTU TEKNOKENT,,,Ankara,ALLCHEMY Kimya Sanayi ve Ticaret Limited Şirketi,,http://www.odtuteknokent.com.tr/firma/allchemy
ODTU TEKNOKENT,,,Ankara,Alp Görüntüleme ve Medikal Sistemleri Anonim Şirketi,,http://www.alpimaging.com
ODTU TEKNOKENT,,,Ankara,ALYO BİLİŞİM A.Ş.,,http://www.alyo.com.tr
ODTU TEKNOKENT,,,Ankara,AMP YAZILIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ANKARA ŞUBESİ,,http://www.ampyazilim.com.tr
ODTU TEKNOKENT,,,Ankara,ANAYURT SAVUNMA VE TEKNOLOJİ  LİMİTED ŞİRKETİ,,http://www.anayurtteknoloji.com
ODTU TEKNOKENT,,,Ankara,ANDAR ELEKTROMEKANİK SİSTEMLER SANAYİ VE TİCARET ANONİM ŞİRKETİ,,http://www.andar.com.tr
ODTU TEKNOKENT,,,Ankara,ANGO YAPAY ZEKA TEKNOLOJİ ANONİM ŞİRKETİ,,http://ango.ai
ODTU TEKNOKENT,,,Ankara,ANKAREF İNOVASYON VE TEKNOLOJİ ANONİM ŞİRKETİ,,http://www.ankaref.com
ODTU TEKNOKENT,,,Ankara,ANKETEK ELEKTRONİK TEKNOLOJİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,,http://www.anketek.com.tr
ODTU TEKNOKENT,,,Ankara,ANOVA ARGE TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,,http://www.anova.com.tr
ODTU TEKNOKENT,,,Ankara,Arçelik Anonim Şirketi,,http://www.arcelikas.com.tr/Cultures/tr-TR/?Language=tr-TR
ODTU TEKNOKENT,,,Ankara,ARDİC ARAŞTIRMA GELİŞTİRME LTD. ŞTİ.,,http://www.ardiclabs.com
ODTU TEKNOKENT,,,Ankara,Arduvaz Mühendislik Sanayi ve Ticaret Limited Şirketi,,http://www.arduvaz.com.tr
